customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1658-BYGOY,Male,1.0,No,No,0.25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7681592039800995,1752.55,Yes
8769-KKTPH,Female,0.0,Yes,Yes,0.875,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),0.8099502487562189,6311.2,No
5067-XJQFU,Male,1.0,Yes,Yes,0.9166666666666666,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,0.8975124378109453,7076.35,No
3957-SQXML,Female,0.0,Yes,Yes,0.4722222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.06666666666666665,894.3,No
5954-BDFSG,Female,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.8880597014925372,7853.7,No
0434-CSFON,Female,0.0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.818407960199005,4707.1,No
1215-FIGMP,Male,0.0,No,No,0.8333333333333333,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),0.7129353233830846,5450.7,No
0526-SXDJP,Male,0.0,Yes,No,1.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),0.2373134328358209,2962,No
0557-ASKVU,Female,0.0,Yes,Yes,0.25,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0.3597014925373134,957.1,No
5698-BQJOH,Female,0.0,No,No,0.125,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.7577114427860697,857.25,Yes
5122-CYFXA,Female,0.0,No,No,0.041666666666666664,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0.5676616915422885,244.1,No
8627-ZYGSZ,Male,0.0,Yes,No,0.6527777777777778,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0.6034825870646766,3650.35,No
3410-YOQBQ,Female,0.0,No,No,0.4305555555555555,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0.6064676616915423,2497.2,No
3170-NMYVV,Female,0.0,Yes,Yes,0.6944444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.018905472636815884,930.9,No
7410-OIEDU,Male,0.0,No,No,0.1388888888888889,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,0.6129353233830845,887.35,No
2273-QCKXA,Male,0.0,No,No,0.013888888888888888,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,0.30646766169154227,49.05,No
0731-EBJQB,Female,0.0,Yes,Yes,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0.021393034825870627,1090.65,No
1891-QRQSA,Male,1.0,Yes,Yes,0.8888888888888888,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9288557213930347,7099,No
8028-PNXHQ,Male,0.0,Yes,Yes,0.861111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.05970149253731341,1424.6,No
5630-AHZIL,Female,0.0,No,Yes,0.041666666666666664,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.46019900497512434,177.4,No
2673-CXQEU,Female,1.0,No,No,0.7777777777777777,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,0.917910447761194,6139.5,No
6416-JNVRK,Female,0.0,No,No,0.6388888888888888,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),0.37213930348258706,2688.85,No
5590-ZSKRV,Female,0.0,Yes,Yes,0.1111111111111111,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,0.3621890547263681,482.25,No
0191-ZHSKZ,Male,1.0,No,No,0.41666666666666663,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.5621890547263682,2111.3,No
3887-PBQAO,Female,0.0,Yes,Yes,0.625,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0.07611940298507458,1216.6,No
5919-TMRGD,Female,0.0,No,Yes,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.607960199004975,79.35,Yes
8108-UXRQN,Female,0.0,Yes,Yes,0.15277777777777776,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.32139303482587056,565.35,No
9191-MYQKX,Female,0.0,Yes,No,0.09722222222222221,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5661691542288557,496.9,Yes
9919-YLNNG,Female,0.0,No,No,0.5833333333333333,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0.8512437810945274,4327.5,No
0318-ZOPWS,Female,0.0,Yes,No,0.6805555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.018905472636815884,973.35,No
4445-ZJNMU,Male,0.0,No,No,0.125,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.8064676616915423,918.75,No
4808-YNLEU,Female,0.0,Yes,No,0.4861111111111111,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0.43681592039800987,2215.45,No
1862-QRWPE,Female,0.0,Yes,Yes,0.6666666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.023880597014925342,1057,No
2796-NNUFI,Female,0.0,Yes,Yes,0.6388888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.01691542288557213,927.1,No
3016-KSVCP,Male,0.0,Yes,No,0.40277777777777773,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,0.154228855721393,1009.25,No
4767-HZZHQ,Male,0.0,Yes,Yes,0.41666666666666663,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),0.6348258706467661,2570.2,No
2424-WVHPL,Male,1.0,No,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0.5616915422885572,74.7,No
7233-PAHHL,Male,0.0,Yes,Yes,0.9166666666666666,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0.654228855721393,5714.25,No
6067-NGCEU,Female,0.0,No,No,0.9027777777777777,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.9233830845771144,7107,No
9848-JQJTX,Male,0.0,No,No,1.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.8223880597014926,7459.05,No
8637-XJIVR,Female,0.0,No,No,0.16666666666666666,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.6039800995024875,927.35,Yes
9803-FTJCG,Male,0.0,Yes,Yes,0.986111111111111,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0.4835820895522387,4748.7,No
0278-YXOOG,Male,0.0,No,No,0.06944444444444445,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.027860696517412936,113.85,Yes
3212-KXOCR,Male,0.0,No,No,0.7222222222222222,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.027363184079601977,1107.2,No
4598-XLKNJ,Female,1.0,Yes,No,0.3472222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.7985074626865671,2514.5,Yes
6380-ARCEH,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.019402985074626844,20.2,No
3679-XASPY,Female,0.0,Yes,Yes,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,0.011940298507462671,19.45,No
7123-WQUHX,Male,0.0,No,No,0.5277777777777778,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0.763681592039801,3605.6,No
5386-THSLQ,Female,1.0,Yes,No,0.9166666666666666,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0.2716417910447761,3027.25,No
3192-NQECA,Male,0.0,Yes,No,0.9444444444444444,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.9129353233830845,7611.85,Yes
6180-YBIQI,Male,0.0,No,No,0.06944444444444445,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,0.06019900497512437,100.2,No
6728-DKUCO,Female,0.0,Yes,Yes,1.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.854726368159204,7303.05,No
9750-BOOHV,Female,0.0,No,No,0.4444444444444444,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,0.11840796019900496,927.65,No
8597-CWYHH,Male,0.0,No,No,0.5972222222222222,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0.7572139303482587,3921.3,No
2848-YXSMW,Male,0.0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0.011442786069651711,1363.25,No
0486-HECZI,Male,0.0,Yes,No,0.7638888888888888,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.7810945273631841,5238.9,Yes
4549-ZDQYY,Female,0.0,No,No,0.7222222222222222,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),0.3950248756218906,3042.25,No
5712-AHQNN,Female,0.0,No,No,0.5972222222222222,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.7303482587064677,3954.1,No
4846-WHAFZ,Female,1.0,Yes,No,0.5138888888888888,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5796019900497512,2868.15,Yes
5256-SKJGO,Female,0.0,Yes,Yes,0.8888888888888888,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,0.36169154228855727,3423.5,No
3071-VBYPO,Male,0.0,Yes,Yes,0.041666666666666664,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0.7124378109452736,248.4,No
9560-BBZXK,Female,0.0,No,No,0.5,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),0.127363184079602,1126.35,No
5299-RULOA,Female,0.0,Yes,Yes,0.1388888888888889,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.8159203980099502,1064.65,Yes
8402-OOOHJ,Female,0.0,No,No,0.5694444444444444,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.023880597014925342,835.15,No
9445-ZUEQE,Male,0.0,Yes,Yes,0.375,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),0.6661691542288557,2151.6,No
1091-SOZGA,Female,0.0,Yes,Yes,0.7777777777777777,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),0.8114427860696517,5515.45,No
2928-HLDBA,Female,0.0,No,No,0.08333333333333333,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.024378109452736302,112.75,No
0404-SWRVG,Male,0.0,No,No,0.041666666666666664,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.5587064676616916,229.55,Yes
6497-TILVL,Female,0.0,Yes,Yes,0.09722222222222221,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0.32288557213930347,350.35,No
7219-TLZHO,Female,0.0,Yes,Yes,0.05555555555555555,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.025870646766169153,62.9,No
4622-YNKIJ,Male,0.0,No,No,0.4583333333333333,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0.7034825870646766,3027.65,No
4412-YLTKF,Female,1.0,No,No,0.375,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.5950248756218905,2135.5,Yes
6734-PSBAW,Male,0.0,Yes,No,1.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0.0527363184079602,1723.95,No
3930-ZGWVE,Male,0.0,No,No,0.013888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0.014925373134328346,19.75,No
2639-UGMAZ,Male,1.0,No,No,0.986111111111111,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.3800995024875622,3985.35,No
2876-GZYZC,Female,0.0,No,No,0.18055555555555555,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.6736318407960199,1215.65,No
6207-WIOLX,Female,0.0,Yes,Yes,0.3472222222222222,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0.4014925373134328,1502.65,Yes
8587-XYZSF,Male,0.0,No,No,0.9305555555555555,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),0.32139303482587056,3260.1,No
3091-FYHKI,Male,0.0,No,No,0.013888888888888888,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.17114427860696518,35.45,Yes
2372-HWUHI,Male,0.0,No,No,0.027777777777777776,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.25970149253731345,81.25,Yes
7799-LGRDP,Female,0.0,No,No,0.5972222222222222,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0.07412935323383085,1188.2,No
7850-VWJUU,Female,0.0,No,No,0.3194444444444444,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.5646766169154228,1778.5,No
3774-VBNXY,Female,0.0,Yes,Yes,0.8888888888888888,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0.019402985074626844,1277.75,No
6217-KDYWC,Male,0.0,No,Yes,0.7916666666666666,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0.013432835820895522,1170.55,No
0390-DCFDQ,Female,1.0,Yes,No,0.013888888888888888,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0.5194029850746269,70.45,Yes
3146-MSEGF,Female,1.0,Yes,Yes,1.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0.6945273631840796,6425.65,No
4080-OGPJL,Female,0.0,No,No,0.1111111111111111,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,0.5263681592039802,563.65,Yes
1095-WGNGG,Female,0.0,Yes,No,0.8472222222222222,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0.8238805970149253,5971.25,No
2636-SJDOU,Male,0.0,No,No,0.8888888888888888,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),0.6572139303482587,5289.05,No
1131-QQZEB,Male,1.0,Yes,No,0.986111111111111,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0.056716417910447736,1756.2,No
5716-EZXZN,Female,0.0,Yes,Yes,0.9027777777777777,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),0.8039800995024875,6416.7,No
